epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,19673.9,1.16337,2.41117,0.30775,1.44747,1.63438,0.70406,0.91907,0.856,0.59134,0.66057,0.85384,0.74744,0.30595,1.12058,1.85915,0.06182,0.86952,1.62579,0.000156805,0.000156805,0.000156805
42,20207,1.16878,2.40084,0.30698,1.47559,1.63689,0.76886,0.92614,0.88542,0.58088,0.70558,0.84221,0.7669,0.33401,1.21357,1.7804,0.06225,0.81233,1.68776,0.000130587,0.000130587,0.000130587
43,20863.7,1.15234,2.32303,0.30082,1.42664,1.61854,0.77936,0.90388,0.88969,0.61684,0.72049,0.8006,0.7703,0.33349,1.10997,1.80668,0.06804,0.81185,1.61605,0.000106842,0.000106842,0.000106842
44,21318.5,1.17291,2.38884,0.30466,1.43424,1.62759,0.78734,0.92726,0.88718,0.61744,0.72966,0.8437,0.78182,0.34832,1.11078,1.77019,0.07414,0.79758,1.60765,8.56659e-05,8.56659e-05,8.56659e-05
45,21847.4,1.14478,2.40106,0.30927,1.3751,1.60858,0.79509,0.9105,0.89653,0.61343,0.75633,0.85673,0.79801,0.34433,1.14996,1.76602,0.0673,0.79414,1.62916,6.7141e-05,6.7141e-05,6.7141e-05
46,22562.1,0.84948,1.96416,0.15495,1.00012,1.5999,0.79506,0.88183,0.89755,0.61954,0.73216,0.81093,0.79245,0.33936,1.11651,1.75634,0.06008,0.94661,1.6332,5.13405e-05,5.13405e-05,5.13405e-05
47,23060.8,0.82998,1.94984,0.14446,0.90925,1.58079,0.8057,0.90462,0.91259,0.6311,0.75856,0.83272,0.80668,0.36705,1.10089,1.71454,0.04377,0.90731,1.6176,3.8327e-05,3.8327e-05,3.8327e-05
48,23459.3,0.84333,1.84007,0.1267,0.84027,1.58545,0.82324,0.90972,0.91319,0.62025,0.77749,0.8486,0.8235,0.37486,1.1501,1.68765,0.03999,0.89015,1.655,2.81517e-05,2.81517e-05,2.81517e-05
49,23939,0.81627,1.8704,0.13042,0.82753,1.57692,0.82963,0.90648,0.91148,0.63452,0.78141,0.8444,0.82251,0.37165,1.12768,1.67898,0.03938,0.86603,1.63244,2.08548e-05,2.08548e-05,2.08548e-05
50,24427.1,0.82325,1.82964,0.12623,0.79527,1.56229,0.79588,0.92269,0.91856,0.63545,0.75981,0.86195,0.83779,0.38859,1.13133,1.65618,0.04096,0.85549,1.63328,1.64652e-05,1.64652e-05,1.64652e-05
