epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,11863.9,1.07978,2.05342,0.27433,1.09203,1.54804,0.97206,0.96655,0.98771,0.72867,0.95971,0.95443,0.96451,0.52854,0.98768,1.34924,0.05458,0.49232,1.53265,0.0007087,0.0007087,0.0007087
75,12050.7,1.07445,2.06146,0.27716,1.09238,1.54296,0.92507,0.96316,0.98498,0.73021,0.91022,0.94757,0.96092,0.51064,0.97833,1.49051,0.07834,0.50343,1.54723,0.000701588,0.000701588,0.000701588
76,12187.8,1.1005,2.09254,0.27063,1.15287,1.56512,0.89523,0.98387,0.97646,0.70174,0.89523,0.98387,0.97646,0.5729,0.99138,1.27808,0.05069,0.50259,1.54423,0.000694428,0.000694428,0.000694428
77,12324.7,1.06625,2.01383,0.26876,1.10749,1.53945,0.95444,0.94583,0.98038,0.72363,0.95133,0.9428,0.97559,0.55858,0.98493,1.29706,0.05208,0.50616,1.49385,0.000687222,0.000687222,0.000687222
78,12474.5,1.07729,2.05672,0.27064,1.10595,1.5493,0.93972,0.94685,0.98023,0.72009,0.93972,0.94685,0.98023,0.6047,0.96581,1.22072,0.04574,0.50456,1.48469,0.00067997,0.00067997,0.00067997
79,12614.3,1.09493,2.10001,0.27493,1.10418,1.55676,0.97234,0.96573,0.98607,0.69199,0.97234,0.96573,0.98607,0.5779,1.05536,1.2915,0.0544,0.52146,1.63195,0.000672675,0.000672675,0.000672675
80,12781.2,1.10737,1.97377,0.26654,1.12477,1.56562,0.96801,0.92214,0.99062,0.7266,0.96504,0.91911,0.9871,0.5865,0.97065,1.27741,0.05132,0.45372,1.49888,0.000665339,0.000665339,0.000665339
81,12951.1,1.08693,1.99856,0.27482,1.13456,1.57171,0.98075,0.97579,0.98967,0.72493,0.98075,0.97579,0.98967,0.58009,0.98827,1.27234,0.05485,0.4777,1.49612,0.000657963,0.000657963,0.000657963
82,13107,1.03759,1.9223,0.26665,1.04361,1.51851,0.95501,0.98178,0.98466,0.7347,0.95501,0.98178,0.98466,0.57269,0.97615,1.29096,0.06674,0.46506,1.48359,0.00065055,0.00065055,0.00065055
83,13199.8,1.05292,1.91839,0.26816,1.03963,1.52477,0.97905,0.97667,0.98871,0.7457,0.95668,0.95515,0.95206,0.54186,0.94409,1.29789,0.06433,0.46479,1.46115,0.000643101,0.000643101,0.000643101
84,13304.5,1.04528,1.91062,0.26061,1.05599,1.53249,0.98053,0.95595,0.98954,0.74927,0.98053,0.95595,0.98954,0.62147,0.94635,1.21498,0.05005,0.45298,1.4772,0.000635617,0.000635617,0.000635617
85,13409.4,1.03713,1.94157,0.27154,1.03708,1.51519,0.97245,0.97099,0.99043,0.74468,0.97245,0.97099,0.99043,0.60449,0.98843,1.21218,0.06114,0.47359,1.47176,0.000628101,0.000628101,0.000628101
86,13542.7,1.05579,1.98021,0.26457,1.07213,1.53127,0.97432,0.97286,0.99013,0.7349,0.97432,0.97286,0.99013,0.61052,0.96116,1.19877,0.03988,0.42589,1.46356,0.000620555,0.000620555,0.000620555
87,13636.4,1.02236,1.81722,0.25383,1.03193,1.51047,0.96828,0.96432,0.99026,0.73461,0.96828,0.96432,0.99026,0.61838,1.01318,1.19533,0.05489,0.45214,1.51245,0.000612981,0.000612981,0.000612981
88,13761.3,1.06619,1.8993,0.25935,1.0418,1.54049,0.96307,0.98,0.9907,0.75452,0.95623,0.97363,0.98088,0.55539,0.94214,1.32036,0.05347,0.44716,1.45522,0.00060538,0.00060538,0.00060538
89,13872,1.08564,1.87978,0.25194,1.07565,1.56641,0.97709,0.97961,0.98933,0.74778,0.97401,0.97658,0.98302,0.61811,0.91889,1.19492,0.05266,0.42937,1.45013,0.000597754,0.000597754,0.000597754
90,13975.2,1.03738,1.86483,0.25923,1.03765,1.51786,0.96588,0.94092,0.98382,0.74904,0.96282,0.93789,0.97975,0.61358,0.94152,1.19147,0.04021,0.44065,1.46086,0.000590105,0.000590105,0.000590105
91,14062.1,1.03681,1.89948,0.25784,1.00283,1.5049,0.97176,0.98812,0.99072,0.74006,0.97176,0.98812,0.99072,0.62803,0.9774,1.18633,0.06766,0.43616,1.49541,0.000582435,0.000582435,0.000582435
92,14177.1,1.05373,1.82194,0.25751,1.03097,1.52437,0.97969,0.96543,0.9913,0.71259,0.97969,0.96543,0.9913,0.63739,1.06234,1.16632,0.04813,0.43662,1.53884,0.000574746,0.000574746,0.000574746
93,14278.1,1.01034,1.844,0.26296,1.00775,1.49908,0.97276,0.99004,0.99191,0.73685,0.97276,0.99004,0.99191,0.62431,0.97195,1.18183,0.04203,0.43874,1.47685,0.00056704,0.00056704,0.00056704
94,14408.5,1.02911,1.739,0.25031,0.98378,1.51533,0.98372,0.9935,0.99225,0.73283,0.98372,0.9935,0.99225,0.65021,0.9275,1.16255,0.05156,0.43537,1.47823,0.000559318,0.000559318,0.000559318
95,14511.1,1.03974,1.81332,0.25921,0.99315,1.51265,0.96489,0.98424,0.99062,0.74291,0.96489,0.98424,0.99062,0.63043,0.97784,1.18689,0.04686,0.41641,1.48556,0.000551584,0.000551584,0.000551584
96,14657.6,1.01362,1.76434,0.25353,0.99932,1.49326,0.98683,0.98563,0.99216,0.75644,0.97761,0.97654,0.97858,0.6417,0.96375,1.14899,0.04593,0.4011,1.46322,0.000543837,0.000543837,0.000543837
97,14807.9,1.02512,1.85729,0.25342,0.99941,1.50868,0.97418,0.97762,0.99215,0.75449,0.97418,0.97762,0.99215,0.66276,0.94452,1.12551,0.04407,0.42457,1.47495,0.000536081,0.000536081,0.000536081
98,14918.2,1.01025,1.74956,0.25025,0.96514,1.49402,0.97443,0.99186,0.99207,0.75221,0.97443,0.99186,0.99207,0.65302,0.93155,1.13092,0.05271,0.41309,1.45163,0.000528318,0.000528318,0.000528318
99,14995.1,1.0063,1.77424,0.25017,0.96352,1.49352,0.97942,0.97809,0.99187,0.74282,0.97942,0.97809,0.99187,0.64206,0.98484,1.1235,0.06746,0.41542,1.48121,0.000520548,0.000520548,0.000520548
100,15122.4,1.00811,1.80637,0.25045,0.98613,1.50809,0.95314,0.96802,0.99215,0.75109,0.94713,0.96196,0.98122,0.62018,0.87817,1.1698,0.04719,0.41246,1.41563,0.000512775,0.000512775,0.000512775
101,15267.3,1.01982,1.8379,0.25045,0.97251,1.50748,0.98665,0.9935,0.9927,0.76093,0.98665,0.9935,0.9927,0.6577,0.88342,1.12937,0.04913,0.40625,1.42512,0.000505,0.000505,0.000505
102,15392.7,0.9995,1.71295,0.2448,0.92593,1.49064,0.98851,0.9935,0.99265,0.75676,0.97944,0.98441,0.9792,0.64559,0.90065,1.11886,0.04159,0.39251,1.43287,0.000497225,0.000497225,0.000497225
103,15506.5,0.99871,1.73001,0.24834,0.93228,1.48803,0.97641,0.97589,0.98963,0.75687,0.97641,0.97589,0.98963,0.62958,0.93872,1.10462,0.0444,0.40235,1.45646,0.000489452,0.000489452,0.000489452
104,15632.1,1.03059,1.75878,0.24827,0.99845,1.52878,0.9782,0.99338,0.99131,0.73758,0.9782,0.99338,0.99131,0.6417,0.99689,1.10536,0.05002,0.40349,1.47548,0.000481682,0.000481682,0.000481682
105,15775.4,1.03227,1.65246,0.2448,0.96059,1.51974,0.97244,0.98528,0.99287,0.74677,0.97244,0.98528,0.99287,0.66126,0.92188,1.08492,0.04042,0.41268,1.43803,0.000473919,0.000473919,0.000473919
106,15878.6,1.00189,1.62824,0.24232,0.97505,1.49771,0.98536,0.99373,0.99278,0.77123,0.98239,0.9907,0.98883,0.65411,0.90203,1.06558,0.04547,0.3827,1.40437,0.000466163,0.000466163,0.000466163
107,15965.8,0.9789,1.73795,0.24648,0.94288,1.46774,0.99062,0.98666,0.99252,0.74248,0.99062,0.98666,0.99252,0.64736,0.96579,1.05811,0.03885,0.39865,1.45442,0.000458416,0.000458416,0.000458416
108,16049.2,0.9856,1.69671,0.24286,0.92879,1.47447,0.98877,0.98721,0.99275,0.76231,0.98877,0.98721,0.99275,0.67155,0.9273,1.01789,0.04892,0.37684,1.43575,0.000450682,0.000450682,0.000450682
109,16144.6,0.98171,1.6699,0.25144,0.91896,1.48539,0.98655,0.99108,0.99292,0.76197,0.98655,0.99108,0.99292,0.66272,0.87937,1.02827,0.04789,0.36608,1.40582,0.00044296,0.00044296,0.00044296
110,16262.1,0.99181,1.62679,0.24358,0.92957,1.48732,0.98655,0.98785,0.99193,0.75092,0.98353,0.98482,0.98562,0.62782,0.94957,1.09907,0.04582,0.38382,1.45443,0.000435254,0.000435254,0.000435254
111,16369.3,0.99724,1.6271,0.24136,0.92876,1.4781,0.99132,0.99302,0.99212,0.758,0.99132,0.99302,0.99212,0.63838,0.92349,1.09288,0.04865,0.39105,1.43639,0.000427565,0.000427565,0.000427565
112,16515.3,1.00692,1.65721,0.24779,0.94263,1.49275,0.98819,0.98991,0.99173,0.77706,0.98493,0.98705,0.98682,0.65241,0.86204,1.05914,0.0334,0.39098,1.37611,0.000419895,0.000419895,0.000419895
113,16611.1,0.97276,1.60956,0.23418,0.92704,1.47641,0.98361,0.99107,0.992,0.76417,0.98361,0.99107,0.992,0.67255,0.9057,1.05046,0.04256,0.38153,1.40396,0.000412246,0.000412246,0.000412246
114,16716.8,0.99947,1.64228,0.24166,0.93249,1.49892,0.98767,0.99083,0.99047,0.76922,0.98767,0.99083,0.99047,0.65317,0.85124,1.03494,0.04446,0.35959,1.39009,0.00040462,0.00040462,0.00040462
115,16793.8,0.95349,1.67402,0.23967,0.8951,1.45657,0.98194,0.97641,0.99227,0.76893,0.98194,0.97641,0.99227,0.68963,0.87758,1.00437,0.03089,0.36985,1.37862,0.000397019,0.000397019,0.000397019
116,16901,0.95805,1.59571,0.23884,0.91162,1.4613,0.99318,0.99392,0.99265,0.77898,0.99011,0.99089,0.98651,0.66555,0.87594,1.04322,0.03886,0.35409,1.39157,0.000389445,0.000389445,0.000389445
117,17001.9,0.97556,1.66445,0.23744,0.91581,1.47672,0.98291,0.99239,0.99252,0.77853,0.98291,0.99239,0.99252,0.67125,0.85708,1.00404,0.03982,0.36437,1.38815,0.000381899,0.000381899,0.000381899
